city_name,region,federal,population
Буинск,Татарстан,Приволжский,19 968
Буй,Костромская область,Центральный,20 564
Буйнакск,Дагестан,Северо-Кавказский,68 121
Бутурлиновка,Воронежская область,Центральный,24 397
Валдай,Новгородская область,Северо-Западный,14 074
Валуйки,Белгородская область,Центральный,33 032
Велиж,Смоленская область,Центральный,6293
Великие Луки,Псковская область,Северо-Западный,86 711
Великий Новгород,Новгородская область,Северо-Западный,224 286
Великий Устюг,Вологодская область,Северо-Западный,28 670
Вельск,Архангельская область,Северо-Западный,21 613
Венёв,Тульская область,Центральный,12 668
Верещагино,Пермский край,Приволжский,22 239
Верея,Московская область,Центральный,4906
Верхнеуральск,Челябинская область,Уральский,8929
Верхний Тагил,Свердловская область,Уральский,10 113
Верхний Уфалей,Челябинская область,Уральский,22 981
Верхняя Пышма,Свердловская область,Уральский,71 335
Верхняя Салда,Свердловская область,Уральский,41 034
Верхняя Тура,Свердловская область,Уральский,8554
Верхотурье,Свердловская область,Уральский,6706
Верхоянск,Якутия,Дальневосточный,828
Весьегонск,Тверская область,Центральный,6330
Ветлуга,Нижегородская область,Приволжский,7681
Видное,Московская область,Центральный,101 490
Вилюйск,Якутия,Дальневосточный,10 032
Вилючинск,Камчатский край,Дальневосточный,21 774
Вихоревка,Иркутская область,Сибирский,21 719
Вичуга,Ивановская область,Центральный,30 694
Владивосток,Приморский край,Дальневосточный,603 519
Владикавказ,Северная Осетия,Северо-Кавказский,295 830
Владимир,Владимирская область,Центральный,349 951
Волгоград,Волгоградская область,Южный,1 028 036
Волгодонск,Ростовская область,Южный,168 048
Волгореченск,Костромская область,Центральный,14 355
Волжск,Марий Эл,Приволжский,53 013
Волжский,Волгоградская область,Южный,321 479
Вологда,Вологодская область,Северо-Западный,313 944
Володарск,Нижегородская область,Приволжский,9705
Волоколамск,Московская область,Центральный,26 389
Волосово,Ленинградская область,Северо-Западный,11 931
Волхов,Ленинградская область,Северо-Западный,38 511
Волчанск,Свердловская область,Уральский,8573
Вольск,Саратовская область,Приволжский,55 035
Воркута,Коми,Северо-Западный,56 985
Воронеж,Воронежская область,Центральный,1 057 681
Ворсма,Нижегородская область,Приволжский,10 162
Воскресенск,Московская область,Центральный,95 495
Воткинск,Удмуртия,Приволжский,97 471
Всеволожск,Ленинградская область,Северо-Западный,79 038
Вуктыл,Коми,Северо-Западный,9322
Выборг,Ленинградская область,Северо-Западный,72 530
Выкса,Нижегородская область,Приволжский,45 240
Высоковск,Московская область,Центральный,13 081
Высоцк,Ленинградская область,Северо-Западный,1129
Вытегра,Вологодская область,Северо-Западный,10 386
Вышний Волочёк,Тверская область,Центральный,45 830
Вяземский,Хабаровский край,Дальневосточный,12 775
Вязники,Владимирская область,Центральный,36 203
Вязьма,Смоленская область,Центральный,51 950
Вятские Поляны,Кировская область,Приволжский,29 742
Гаврилов Посад,Ивановская область,Центральный,5429
Гаврилов-Ям,Ярославская область,Центральный,16 084
Гагарин,Смоленская область,Центральный,26 500
Гаджиево,Мурманская область,Северо-Западный,9297
Гай,Оренбургская область,Приволжский,33 280
Галич,Костромская область,Центральный,12 856
Гатчина,Ленинградская область,Северо-Западный,94 377
Гвардейск,Калининградская область,Северо-Западный,14 122
Гдов,Псковская область,Северо-Западный,3455
Геленджик,Краснодарский край,Южный,80 204
Георгиевск,Ставропольский край,Северо-Кавказский,63 221
Глазов,Удмуртия,Приволжский,87 762
Голицыно,Московская область,Центральный,22 733
Горбатов,Нижегородская область,Приволжский,2009
Горно-Алтайск,Алтай,Сибирский,65 342
Горнозаводск,Пермский край,Приволжский,11 073
Горняк,Алтайский край,Сибирский,10 112
Городец,Нижегородская область,Приволжский,28 660
Городище,Пензенская область,Приволжский,7796
Городовиковск,Калмыкия,Южный,8285
Гороховец,Владимирская область,Центральный,12 666
Горячий Ключ,Краснодарский край,Южный,40 903
Грайворон,Белгородская область,Центральный,6179
Гремячинск,Пермский край,Приволжский,8360
Грозный,Чечня,Северо-Кавказский,328 533
Грязи,Липецкая область,Центральный,43 908
Грязовец,Вологодская область,Северо-Западный,14 505
Губаха,Пермский край,Приволжский,23 397
Губкин,Белгородская область,Центральный,85 225
Губкинский,Ямало-Ненецкий АО,Уральский,33 273
Гудермес,Чечня,Северо-Кавказский,64 376
Гуково,Ростовская область,Южный,60 361
Гулькевичи,Краснодарский край,Южный,33 357
Гурьевск,Калининградская область,Северо-Западный,26 760
Гурьевск,Кемеровская область,Сибирский,22 134
Гусев,Калининградская область,Северо-Западный,29 234
Гусиноозёрск,Бурятия,Дальневосточный,24 451
Гусь-Хрустальный,Владимирская область,Центральный,51 552
Давлеканово,Башкортостан,Приволжский,21 834
Дагестанские Огни,Дагестан,Северо-Кавказский,31 412
Далматово,Курганская область,Уральский,11 584
Дальнегорск,Приморский край,Дальневосточный,33 655
Дальнереченск,Приморский край,Дальневосточный,23 613
Данилов,Ярославская область,Центральный,13 677
Данков,Липецкая область,Центральный,19 726
