city_name,region,federal,population
Мурино,Ленинградская область,Северо-Западный,89 083
Мурманск,Мурманская область,Северо-Западный,270 384
Муром,Владимирская область,Центральный,107 497
Мценск,Орловская область,Центральный,36 960
Мыски,Кемеровская область,Сибирский,40 109
Мытищи,Московская область,Центральный,255 429
Мышкин,Ярославская область,Центральный,5621
Набережные Челны,Татарстан,Приволжский,548 434
Навашино,Нижегородская область,Приволжский,14 664
Наволоки,Ивановская область,Центральный,8167
Надым,Ямало-Ненецкий АО,Уральский,45 973
Назарово,Красноярский край,Сибирский,45 333
Назрань,Ингушетия,Северо-Кавказский,122 350
Называевск,Омская область,Сибирский,10 434
Нальчик,Кабардино-Балкария,Северо-Кавказский,247 054
Нариманов,Астраханская область,Южный,11 104
Наро-Фоминск,Московская область,Центральный,71 121
Нарткала,Кабардино-Балкария,Северо-Кавказский,33 203
Нарьян-Мар,Ненецкий АО,Северо-Западный,23 399
Наурская,Чечня,Северо-Кавказский,10 840
Находка,Приморский край,Дальневосточный,139 931
Невель,Псковская область,Северо-Западный,13 980
Невельск,Сахалинская область,Дальневосточный,10 608
Невинномысск,Ставропольский край,Северо-Кавказский,117 562
Невьянск,Свердловская область,Уральский,22 061
Нелидово,Тверская область,Центральный,18 603
Неман,Калининградская область,Северо-Западный,9255
Нерехта,Костромская область,Центральный,19 977
Нерчинск,Забайкальский край,Дальневосточный,15 290
Нерюнгри,Якутия,Дальневосточный,53 409
Нестеров,Калининградская область,Северо-Западный,3336
Нефтегорск,Самарская область,Приволжский,18 076
Нефтекамск,Башкортостан,Приволжский,131 942
Нефтекумск,Ставропольский край,Северо-Кавказский,23 137
Нефтеюганск,Ханты-Мансийский АО,Уральский,124 732
Нея,Костромская область,Центральный,7816
Нижневартовск,Ханты-Мансийский АО,Уральский,283 256
Нижнекамск,Татарстан,Приволжский,241 479
Нижнеудинск,Иркутская область,Сибирский,29 995
Нижние Серги,Свердловская область,Уральский,8009
Нижний Ломов,Пензенская область,Приволжский,20 421
Нижний Новгород,Нижегородская область,Приволжский,1 226 076
Нижний Тагил,Свердловская область,Уральский,338 966
Нижняя Салда,Свердловская область,Уральский,16 505
Нижняя Тура,Свердловская область,Уральский,18 392
Николаевск,Волгоградская область,Южный,13 460
Николаевск-на-Амуре,Хабаровский край,Дальневосточный,18 631
Никольск,Вологодская область,Северо-Западный,7661
Никольск,Пензенская область,Приволжский,19 873
Никольское,Ленинградская область,Северо-Западный,22 355
Новая Ладога,Ленинградская область,Северо-Западный,7432
Новая Ляля,Свердловская область,Уральский,10 684
Новоалександровск,Ставропольский край,Северо-Кавказский,26 767
Новоалтайск,Алтайский край,Сибирский,73 049
Новоаннинский,Волгоградская область,Южный,15 351
Нововоронеж,Воронежская область,Центральный,30 658
Новодвинск,Архангельская область,Северо-Западный,33 294
Новозыбков,Брянская область,Центральный,38 680
Новокубанск,Краснодарский край,Южный,34 000
Новокузнецк,Кемеровская область,Сибирский,537 480
Новокуйбышевск,Самарская область,Приволжский,98 306
Новомичуринск,Рязанская область,Центральный,16 900
Новомосковск,Тульская область,Центральный,119 697
Новопавловск,Ставропольский край,Северо-Кавказский,20 781
Новоржев,Псковская область,Северо-Западный,3222
Новороссийск,Краснодарский край,Южный,262 293
Новосибирск,Новосибирская область,Сибирский,1 633 595
Новосиль,Орловская область,Центральный,2912
Новосокольники,Псковская область,Северо-Западный,6895
Новотроицк,Оренбургская область,Приволжский,75 960
Новоузенск,Саратовская область,Приволжский,15 216
Новоульяновск,Ульяновская область,Приволжский,13 673
Новоуральск,Свердловская область,Уральский,78 479
Новохопёрск,Воронежская область,Центральный,5948
Новочебоксарск,Чувашия,Приволжский,120 375
Новочеркасск,Ростовская область,Южный,163 674
Новошахтинск,Ростовская область,Южный,103 480
Новый Оскол,Белгородская область,Центральный,18 359
Новый Уренгой,Ямало-Ненецкий АО,Уральский,107 251
Ногинск,Московская область,Центральный,103 891
Нолинск,Кировская область,Приволжский,8262
Норильск,Красноярский край,Сибирский,174 453
Ноябрьск,Ямало-Ненецкий АО,Уральский,100 188
Нурлат,Татарстан,Приволжский,33 990
Нытва,Пермский край,Приволжский,16 675
Нюрба,Якутия,Дальневосточный,10 138
Нягань,Ханты-Мансийский АО,Уральский,63 034
Нязепетровск,Челябинская область,Уральский,10 379
Няндома,Архангельская область,Северо-Западный,18 473
Облучье,Еврейская АО,Дальневосточный,7959
Обнинск,Калужская область,Центральный,125 376
Обоянь,Курская область,Центральный,11 844
Обь,Новосибирская область,Сибирский,30 369
Одинцово,Московская область,Центральный,180 530
Озёрск,Калининградская область,Северо-Западный,4152
Озёрск,Челябинская область,Уральский,76 896
Озёры,Московская область,Центральный,24 359
Ойсхара,Чечня,Северо-Кавказский,19 415
Октябрьск,Самарская область,Приволжский,20 703
Октябрьский,Башкортостан,Приволжский,115 557
Окуловка,Новгородская область,Северо-Западный,9949
Олёкминск,Якутия,Дальневосточный,8398
Оленегорск,Мурманская область,Северо-Западный,21 438
Олонец,Карелия,Северо-Западный,7663
Омск,Омская область,Сибирский,1 125 695
Омутнинск,Кировская область,Приволжский,19 629
Онега,Архангельская область,Северо-Западный,16 947
Опочка,Псковская область,Северо-Западный,9928
Орёл,Орловская область,Центральный,303 169
Оренбург,Оренбургская область,Приволжский,543 654
Орехово-Зуево,Московская область,Центральный,105 745
Орлов,Кировская область,Приволжский,5508
Орск,Оренбургская область,Приволжский,189 195
Оса,Пермский край,Приволжский,19 523
Осинники,Кемеровская область,Сибирский,40 367
Осташков,Тверская область,Центральный,16 674
Остров,Псковская область,Северо-Западный,20 923
Островной,Мурманская область,Северо-Западный,1487
Острогожск,Воронежская область,Центральный,31 699
Отрадное,Ленинградская область,Северо-Западный,25 706
Отрадный,Самарская область,Приволжский,46 984
Оха,Сахалинская область,Дальневосточный,20 357
Оханск,Пермский край,Приволжский,6430
Очёр,Пермский край,Приволжский,14 385
Павлово,Нижегородская область,Приволжский,57 116
Павловск,Воронежская область,Центральный,22 384
Павловский Посад,Московская область,Центральный,65 098
Палласовка,Волгоградская область,Южный,14 966
Партизанск,Приморский край,Дальневосточный,33 832
Певек,Чукотский АО,Дальневосточный,4015
Пенза,Пензенская область,Приволжский,501 109
Первомайск,Нижегородская область,Приволжский,13 223
Первоуральск,Свердловская область,Уральский,114 450
Перевоз,Нижегородская область,Приволжский,8999
Пересвет,Московская область,Центральный,11 752
Переславль-Залесский,Ярославская область,Центральный,37 738
Пермь,Пермский край,Приволжский,1 034 002
Пестово,Новгородская область,Северо-Западный,14 032
Петров Вал,Волгоградская область,Южный,12 526
Петровск,Саратовская область,Приволжский,26 319
Петровск-Забайкальский,Забайкальский край,Дальневосточный,15 015
Петрозаводск,Карелия,Северо-Западный,234 897
Петропавловск-Камчатский,Камчатский край,Дальневосточный,164 900
Петухово,Курганская область,Уральский,8502
Петушки,Владимирская область,Центральный,13 317
Печора,Коми,Северо-Западный,35 254
Печоры,Псковская область,Северо-Западный,10 247
Пикалёво,Ленинградская область,Северо-Западный,20 388
Пионерский,Калининградская область,Северо-Западный,12 794
Питкяранта,Карелия,Северо-Западный,8340
Плавск,Тульская область,Центральный,16 893
Пласт,Челябинская область,Уральский,18 379
Плёс,Ивановская область,Центральный,1896
Поворино,Воронежская область,Центральный,16 417
Подольск,Московская область,Центральный,314 934
Подпорожье,Ленинградская область,Северо-Западный,16 123
Покачи,Ханты-Мансийский АО,Уральский,16 040
Покров,Владимирская область,Центральный,17 747
Покровск,Якутия,Дальневосточный,12 021
Полевской,Свердловская область,Уральский,55 182
Полесск,Калининградская область,Северо-Западный,6926
Полысаево,Кемеровская область,Сибирский,25 631
Полярные Зори,Мурманская область,Северо-Западный,14 146
Полярный,Мурманская область,Северо-Западный,12 293
Поронайск,Сахалинская область,Дальневосточный,16 026
Порхов,Псковская область,Северо-Западный,7309
Похвистнево,Самарская область,Приволжский,27 333
Почеп,Брянская область,Центральный,14 991
Починок,Смоленская область,Центральный,7575
Пошехонье,Ярославская область,Центральный,5150
Правдинск,Калининградская область,Северо-Западный,3986
Приволжск,Ивановская область,Центральный,14 332
Приморск,Калининградская область,Северо-Западный,1436
Приморск,Ленинградская область,Северо-Западный,6537
Приморско-Ахтарск,Краснодарский край,Южный,31 087
Приозерск,Ленинградская область,Северо-Западный,18 777
Прокопьевск,Кемеровская область,Сибирский,177 819
Пролетарск,Ростовская область,Южный,18 983
Протвино,Московская область,Центральный,37 735
Прохладный,Кабардино-Балкария,Северо-Кавказский,59 938
Псков,Псковская область,Северо-Западный,193 082
Пугачёв,Саратовская область,Приволжский,40 127
Пудож,Карелия,Северо-Западный,7356
Пустошка,Псковская область,Северо-Западный,4070
Пучеж,Ивановская область,Центральный,6879
Пушкино,Московская область,Центральный,110 868
Пущино,Московская область,Центральный,19 578
Пыталово,Псковская область,Северо-Западный,5263
Пыть-Ях,Ханты-Мансийский АО,Уральский,40 180
Пятигорск,Ставропольский край,Северо-Кавказский,146 473
Радужный,Владимирская область,Центральный,17 569
Радужный,Ханты-Мансийский АО,Уральский,43 577
Райчихинск,Амурская область,Дальневосточный,15 797
Раменское,Московская область,Центральный,114 537
Рассказово,Тамбовская область,Центральный,47 644
Ревда,Свердловская область,Уральский,60 200
Реж,Свердловская область,Уральский,36 585
Реутов,Московская область,Центральный,113 871
Ржев,Тверская область,Центральный,55 757
Родники,Ивановская область,Центральный,24 101
Рославль,Смоленская область,Центральный,45 416
Россошь,Воронежская область,Центральный,60 879
Ростов Великий,Ярославская область,Центральный,28 122
Ростов-на-Дону,Ростовская область,Южный,1 142 162
Рошаль,Московская область,Центральный,21 401
Ртищево,Саратовская область,Приволжский,37 850
Рубцовск,Алтайский край,Сибирский,126 834
Рудня,Смоленская область,Центральный,8908
Руза,Московская область,Центральный,16 014
Рузаевка,Мордовия,Приволжский,42 989
Рыбинск,Ярославская область,Центральный,177 295
Рыбное,Рязанская область,Центральный,21 069
Рыльск,Курская область,Центральный,15 069
Ряжск,Рязанская область,Центральный,20 634
Рязань,Рязанская область,Центральный,528 599
Саки не призн.,Крым,Южный,24 285
Салават,Башкортостан,Приволжский,148 575
Салаир,Кемеровская область,Сибирский,7088
Салехард,Ямало-Ненецкий АО,Уральский,47 910
Сальск,Ростовская область,Южный,57 937
Самара,Самарская область,Приволжский,1 173 299
Санкт-Петербург,Санкт-Петербург,Северо-Западный,5 601 911
Саранск,Мордовия,Приволжский,314 871
Сарапул,Удмуртия,Приволжский,91 115
Саратов,Саратовская область,Приволжский,901 361
Саров,Нижегородская область,Приволжский,93 357
Сасово,Рязанская область,Центральный,21 628
Сатка,Челябинская область,Уральский,42 597
Сафоново,Смоленская область,Центральный,38 403
Саяногорск,Хакасия,Сибирский,44 872
Саянск,Иркутская область,Сибирский,35 561
Светлогорск,Калининградская область,Северо-Западный,16 207
Светлоград,Ставропольский край,Северо-Кавказский,35 703
Светлый,Калининградская область,Северо-Западный,21 114
Светогорск,Ленинградская область,Северо-Западный,13 784
Свирск,Иркутская область,Сибирский,15 485
Свободный,Амурская область,Дальневосточный,48 517
Себеж,Псковская область,Северо-Западный,6246
Севастополь не призн.,Севастополь,Южный,547 820 [ 3 ]
Северо-Курильск,Сахалинская область,Дальневосточный,2374
Северобайкальск,Бурятия,Дальневосточный,24 233
Северодвинск,Архангельская область,Северо-Западный,157 213
Североморск,Мурманская область,Северо-Западный,43 327
Североуральск,Свердловская область,Уральский,24 428
Северск,Томская область,Сибирский,106 648
Севск,Брянская область,Центральный,6732
Сегежа,Карелия,Северо-Западный,23 543
Сельцо,Брянская область,Центральный,15 906
Семёнов,Нижегородская область,Приволжский,25 075
Семикаракорск,Ростовская область,Южный,21 719
Семилуки,Воронежская область,Центральный,27 938
Сенгилей,Ульяновская область,Приволжский,6407
Серафимович,Волгоградская область,Южный,8633
Сергач,Нижегородская область,Приволжский,20 256
Сергиев Посад,Московская область,Центральный,101 756
Сердобск,Пензенская область,Приволжский,30 220
Серноводское,Чечня,Северо-Кавказский,12 583
Серов,Свердловская область,Уральский,94 211
Серпухов,Московская область,Центральный,133 793
Сертолово,Ленинградская область,Северо-Западный,68 241
Сибай,Башкортостан,Приволжский,56 514
Сим,Челябинская область,Уральский,12 858
Симферополь не призн.,Крым,Южный,340 540
Сковородино,Амурская область,Дальневосточный,7057
Скопин,Рязанская область,Центральный,25 238
Славгород,Алтайский край,Сибирский,27 900
Славск,Калининградская область,Северо-Западный,4153
Славянск-на-Кубани,Краснодарский край,Южный,62 985
Сланцы,Ленинградская область,Северо-Западный,34 628
Слободской,Кировская область,Приволжский,29 148
Слюдянка,Иркутская область,Сибирский,18 058
Смоленск,Смоленская область,Центральный,316 570
Снежинск,Челябинская область,Уральский,50 619
Снежногорск,Мурманская область,Северо-Западный,9942
Собинка,Владимирская область,Центральный,17 444
Советск,Калининградская область,Северо-Западный,38 910
Советск,Кировская область,Приволжский,14 626
Советск,Тульская область,Центральный,7889
Советская Гавань,Хабаровский край,Дальневосточный,24 231
Советский,Ханты-Мансийский АО,Уральский,31 138
Сокол,Вологодская область,Северо-Западный,34 742
Солигалич,Костромская область,Центральный,5534
Соликамск,Пермский край,Приволжский,89 473
Солнечногорск,Московская область,Центральный,48 413
Соль-Илецк,Оренбургская область,Приволжский,26 149
Сольвычегодск,Архангельская область,Северо-Западный,1952
Сольцы,Новгородская область,Северо-Западный,8449
Сорочинск,Оренбургская область,Приволжский,28 478
Сорск,Хакасия,Сибирский,10 124
Сортавала,Карелия,Северо-Западный,14 867
Сосенский,Калужская область,Центральный,11 413
Сосновка,Кировская область,Приволжский,8428
Сосновоборск,Красноярский край,Сибирский,40 442
Сосновый Бор,Ленинградская область,Северо-Западный,65 367
Сосногорск,Коми,Северо-Западный,22 189
Сочи,Краснодарский край,Южный,466 078
Спас-Деменск,Калужская область,Центральный,4569
Спас-Клепики,Рязанская область,Центральный,4743
Спасск,Пензенская область,Приволжский,6936
Спасск-Дальний,Приморский край,Дальневосточный,35 732
Спасск-Рязанский,Рязанская область,Центральный,5796
Среднеколымск,Якутия,Дальневосточный,3131
Среднеуральск,Свердловская область,Уральский,23 344
Сретенск,Забайкальский край,Дальневосточный,6093
Ставрополь,Ставропольский край,Северо-Кавказский,547 443
Старая Купавна,Московская область,Центральный,22 898
Старая Русса,Новгородская область,Северо-Западный,27 487
Старица,Тверская область,Центральный,6938
Стародуб,Брянская область,Центральный,17 687
Старый Крым не призн.,Крым,Южный,10 470
Старый Оскол,Белгородская область,Центральный,221 676
Стерлитамак,Башкортостан,Приволжский,277 410
Стрежевой,Томская область,Сибирский,39 169
Строитель,Белгородская область,Центральный,23 780
Струнино,Владимирская область,Центральный,11 774
Ступино,Московская область,Центральный,64 412
Суворов,Тульская область,Центральный,17 598
Судак не призн.,Крым,Южный,17 834
Суджа,Курская область,Центральный,5127
Судогда,Владимирская область,Центральный,10 408
Суздаль,Владимирская область,Центральный,9286
Сунжа,Ингушетия,Северо-Кавказский,62 078
Суоярви,Карелия,Северо-Западный,7190
Сураж,Брянская область,Центральный,11 176
Сургут,Ханты-Мансийский АО,Уральский,396 443
Суровикино,Волгоградская область,Южный,18 227
Сурск,Пензенская область,Приволжский,6034
Сусуман,Магаданская область,Дальневосточный,4439
Сухиничи,Калужская область,Центральный,14 806
Сухой Лог,Свердловская область,Уральский,32 748
Сызрань,Самарская область,Приволжский,165 725
Сыктывкар,Коми,Северо-Западный,220 580
Сысерть,Свердловская область,Уральский,20 634
Сычёвка,Смоленская область,Центральный,7544
Сясьстрой,Ленинградская область,Северо-Западный,12 566
Тавда,Свердловская область,Уральский,32 749
Таганрог,Ростовская область,Южный,245 120
Тайга,Кемеровская область,Сибирский,22 375
Тайшет,Иркутская область,Сибирский,34 491
Талдом,Московская область,Центральный,17 317
Талица,Свердловская область,Уральский,14 808
Тамбов,Тамбовская область,Центральный,261 803
Тара,Омская область,Сибирский,26 878
Тарко-Сале,Ямало-Ненецкий АО,Уральский,19 900
Таруса,Калужская область,Центральный,9918
Татарск,Новосибирская область,Сибирский,23 711
Таштагол,Кемеровская область,Сибирский,21 980
Тверь,Тверская область,Центральный,416 219
Теберда,Карачаево-Черкесия,Северо-Кавказский,9020
Тейково,Ивановская область,Центральный,31 305
Тельмана,Ленинградская область,Северо-Западный,23 986
Темников,Мордовия,Приволжский,6451
Темрюк,Краснодарский край,Южный,41 608
Терек,Кабардино-Балкария,Северо-Кавказский,19 948
Тетюши,Татарстан,Приволжский,10 535
Тимашёвск,Краснодарский край,Южный,51 858
Тихвин,Ленинградская область,Северо-Западный,55 415
Тихорецк,Краснодарский край,Южный,55 686
Тобольск,Тюменская область,Уральский,100 352
Тогучин,Новосибирская область,Сибирский,20 766
Тольятти,Самарская область,Приволжский,684 709
Томари,Сахалинская область,Дальневосточный,4313
Томмот,Якутия,Дальневосточный,6440
Томск,Томская область,Сибирский,556 478
Топки,Кемеровская область,Сибирский,27 158
Торжок,Тверская область,Центральный,41 116
Торопец,Тверская область,Центральный,11 441
Тосно,Ленинградская область,Северо-Западный,34 066
Тотьма,Вологодская область,Северо-Западный,8669
Трёхгорный,Челябинская область,Уральский,32 463
Троицк,Челябинская область,Уральский,70 301
Трубчевск,Брянская область,Центральный,13 287
Туапсе,Краснодарский край,Южный,61 571
Туймазы,Башкортостан,Приволжский,68 349
Тула,Тульская область,Центральный,473 622
Тулун,Иркутская область,Сибирский,38 440
Туран,Тыва,Сибирский,5044
Туринск,Свердловская область,Уральский,16 561
Тутаев,Ярославская область,Центральный,39 643
Тында,Амурская область,Дальневосточный,28 625
Тырныауз,Кабардино-Балкария,Северо-Кавказский,22 056
Тюкалинск,Омская область,Сибирский,9894
Тюмень,Тюменская область,Уральский,847 488
Уварово,Тамбовская область,Центральный,23 584
Углегорск,Сахалинская область,Дальневосточный,8041
Углич,Ярославская область,Центральный,32 719
Удачный,Якутия,Дальневосточный,12 930
Удомля,Тверская область,Центральный,25 950
Ужур,Красноярский край,Сибирский,14 134
Узловая,Тульская область,Центральный,49 427
Улан-Удэ,Бурятия,Дальневосточный,437 565
Ульяновск,Ульяновская область,Приволжский,617 352
Унеча,Брянская область,Центральный,24 274
Урай,Ханты-Мансийский АО,Уральский,41 315
Урень,Нижегородская область,Приволжский,12 450
Уржум,Кировская область,Приволжский,8448
Урус-Мартан,Чечня,Северо-Кавказский,63 449
Урюпинск,Волгоградская область,Южный,36 669
Усинск,Коми,Северо-Западный,32 182
Усмань,Липецкая область,Центральный,19 662
Усолье-Сибирское,Иркутская область,Сибирский,74 762
Усолье,Пермский край,Приволжский,6619
Уссурийск,Приморский край,Дальневосточный,180 393
Усть-Джегута,Карачаево-Черкесия,Северо-Кавказский,31 137
Усть-Илимск,Иркутская область,Сибирский,79 570
Усть-Катав,Челябинская область,Уральский,21 439
Усть-Кут,Иркутская область,Сибирский,36 918
Усть-Лабинск,Краснодарский край,Южный,40 158
Устюжна,Вологодская область,Северо-Западный,7843
Уфа,Башкортостан,Приволжский,1 144 809
Ухта,Коми,Северо-Западный,79 899
Учалы,Башкортостан,Приволжский,36 175
Уяр,Красноярский край,Сибирский,12 036
Фатеж,Курская область,Центральный,4691
Феодосия не призн.,Крым,Южный,66 293
Фокино,Брянская область,Центральный,12 538
Фокино,Приморский край,Дальневосточный,19 711
Фролово,Волгоградская область,Южный,35 661
Фрязино,Московская область,Центральный,60 580
Фурманов,Ивановская область,Центральный,29 715
Хабаровск,Хабаровский край,Дальневосточный,617 441
Хадыженск,Краснодарский край,Южный,22 094
Ханты-Мансийск,Ханты-Мансийский АО,Уральский,107 473
Харабали,Астраханская область,Южный,18 514
Харовск,Вологодская область,Северо-Западный,8389
Хасавюрт,Дагестан,Северо-Кавказский,155 144
Хвалынск,Саратовская область,Приволжский,12 042
Хилок,Забайкальский край,Дальневосточный,9948
Химки,Московская область,Центральный,257 128
Холм,Новгородская область,Северо-Западный,3214
Холмск,Сахалинская область,Дальневосточный,25 677
Хотьково,Московская область,Центральный,20 466
Цивильск,Чувашия,Приволжский,12 762
Цимлянск,Ростовская область,Южный,14 731
Циолковский,Амурская область,Дальневосточный,7194
Чадан,Тыва,Сибирский,9732
Чайковский,Пермский край,Приволжский,75 837
Чапаевск,Самарская область,Приволжский,70 228
Чаплыгин,Липецкая область,Центральный,11 579
Чебаркуль,Челябинская область,Уральский,44 693
Чебоксары,Чувашия,Приволжский,497 807
Чегем,Кабардино-Балкария,Северо-Кавказский,20 736
Чекалин,Тульская область,Центральный,935
Челябинск,Челябинская область,Уральский,1 189 525
Чердынь,Пермский край,Приволжский,4590
Черемхово,Иркутская область,Сибирский,53 958
Черепаново,Новосибирская область,Сибирский,19 900
Череповец,Вологодская область,Северо-Западный,305 185
Черкесск,Карачаево-Черкесия,Северо-Кавказский,113 226
Чёрмоз,Пермский край,Приволжский,3044
Черноголовка,Московская область,Центральный,19 530
Черногорск,Хакасия,Сибирский,75 745
Чернушка,Пермский край,Приволжский,32 991
Черняховск,Калининградская область,Северо-Западный,36 128
Чехов,Московская область,Центральный,89 025
Чистополь,Татарстан,Приволжский,58 815
Чита,Забайкальский край,Дальневосточный,334 427
Чкаловск,Нижегородская область,Приволжский,11 535
Чудово,Новгородская область,Северо-Западный,14 302
Чулым,Новосибирская область,Сибирский,11 034
Чусовой,Пермский край,Приволжский,45 471
Чухлома,Костромская область,Центральный,4252
Шагонар,Тыва,Сибирский,11 772
Шадринск,Курганская область,Уральский,68 609
Шали,Чечня,Северо-Кавказский,55 054
Шарыпово,Красноярский край,Сибирский,33 961
Шарья,Костромская область,Центральный,20 439
Шатура,Московская область,Центральный,38 230
Шахты,Ростовская область,Южный,226 452
Шахунья,Нижегородская область,Приволжский,17 626
Шацк,Рязанская область,Центральный,5927
Шебекино,Белгородская область,Центральный,39 680
Шелехов,Иркутская область,Сибирский,41 998
Шелковская,Чечня,Северо-Кавказский,12 593
Шенкурск,Архангельская область,Северо-Западный,4600
Шилка,Забайкальский край,Дальневосточный,12 046
Шимановск,Амурская область,Дальневосточный,16 488
Шиханы,Саратовская область,Приволжский,5155
Шлиссельбург,Ленинградская область,Северо-Западный,14 131
Шумерля,Чувашия,Приволжский,26 873
Шумиха,Курганская область,Уральский,16 264
Шуя,Ивановская область,Центральный,55 225
Щёкино,Тульская область,Центральный,55 109
Щёлкино не призн.,Крым,Южный,10 131
Щёлково,Московская область,Центральный,134 211
Щигры,Курская область,Центральный,14 927
Щучье,Курганская область,Уральский,8252
Электрогорск,Московская область,Центральный,29 982
Электросталь,Московская область,Центральный,146 403
Электроугли,Московская область,Центральный,17 944
Элиста,Калмыкия,Южный,102 583
Энгельс,Саратовская область,Приволжский,225 428
Эртиль,Воронежская область,Центральный,10 024
Югорск,Ханты-Мансийский АО,Уральский,38 238
Южа,Ивановская область,Центральный,12 957
Южно-Сахалинск,Сахалинская область,Дальневосточный,181 587
Южно-Сухокумск,Дагестан,Северо-Кавказский,10 503
Южноуральск,Челябинская область,Уральский,37 478
Юрга,Кемеровская область,Сибирский,79 693
Юрьев-Польский,Владимирская область,Центральный,17 276
Юрьевец,Ивановская область,Центральный,7899
Юрюзань,Челябинская область,Уральский,10 284
Юхнов,Калужская область,Центральный,6610
Ядрин,Чувашия,Приволжский,7918
Якутск,Якутия,Дальневосточный,355 443
Ялта не призн.,Крым,Южный,74 652
Ялуторовск,Тюменская область,Уральский,38 853
Янаул,Башкортостан,Приволжский,25 908
Яранск,Кировская область,Приволжский,14 284
Яровое,Алтайский край,Сибирский,16 424
Ярославль,Ярославская область,Центральный,577 279
Ярцево,Смоленская область,Центральный,41 452
Ясногорск,Тульская область,Центральный,15 269
Ясный,Оренбургская область,Приволжский,15 471
Яхрома,Московская область,Центральный,14 011
